iv,T,f_resp,ap_mean,pop_at_end,pop_cv,MSE_fresp_mean,MSE_fresp_cv
0.21875,286.34375,0.16312500000000002,0.0,0.0,1.8703377910711496,0.0007329594925009617,0.0007022017547386042
0.28125,308.65625,0.16312500000000002,0.0,0.0,2.0815557154471174,0.0028311430918927564,0.02870587460697447
0.28125,286.34375,0.530625,0.0,0.0,1.2218612233455586,0.011799308618227759,0.00521308736811502
0.21875,308.65625,0.530625,37.99999999999338,0.0,1.1150269610941892,0.006336237004842014,0.007821034105087329
0.78125,311.84375,0.653125,26.95023148147737,30.0,0.4425800689451628,0.0039395799488513815,0.010527595772394876
0.71875,311.84375,0.653125,26.38117283950219,16.0,0.46372627371431746,0.004999410220273199,0.010451989666821473
0.78125,283.15625,0.653125,29.907986111106325,44.0,0.7736959240249646,0.0016227685830261342,0.03435204515152955
0.78125,311.84375,0.040625,0.0,0.0,10.0,0.0004762584399317967,0.0017873209267854201
0.71875,283.15625,0.040625,0.0,0.0,10.0,0.0008209542084197946,0.0043317309610149245
0.53125,273.59375,0.408125,0.0,0.0,0.9433187548662518,0.08252416549746758,0.025292987716481162
0.46875,273.59375,0.408125,0.0,0.0,1.029093248545137,0.037335139304021034,0.027235711909242347
0.53125,295.90625,0.408125,0.0,0.0,1.43593544327781,0.004276651191421997,0.010151921801542447
0.53125,273.59375,0.285625,0.0,1.0,0.7373190883771612,0.10361754294204889,0.024037104925354345
0.46875,295.90625,0.285625,0.0,0.0,1.8040076587481577,0.009407520034404522,0.006121931855950739
0.03125,299.09375,0.898125,5.00000000000011,0.0,4.599837177509761,0.0008603586387802006,0.0296408582982995
0.96875,299.09375,0.898125,0.0,0.0,4.81878375704114,0.0003815020400292107,0.008360159554143926
0.03125,321.40625,0.898125,48.99999999999088,33.0,0.9357775037945765,0.008818465618729255,0.004931868697692594
0.03125,299.09375,0.775625,0.0,0.0,3.6247839505388764,0.0025255597946777374,0.023433190160924357
0.96875,321.40625,0.775625,54.44444444443408,38.0,0.8784642648450481,0.018768460468664098,0.020704690743966248
0.046875,285.546875,0.6990625,38.22190656564988,18.0,0.6191516152639052,0.007670674449656384,0.020545846613800267
0.546875,285.546875,0.6990625,24.96626984126618,50.0,0.6059397357901609,0.006217920066513435,0.021137123364560844
0.046875,279.171875,0.6990625,45.6666666666583,12.0,0.6681525626467953,0.014013850810761983,0.030045503008238845
0.046875,285.546875,0.9134375,14.31863425925802,0.0,2.2753639688641383,0.0025313149674604032,0.022279669743546733
0.546875,279.171875,0.9134375,20.183680555552986,0.0,1.8888433844256614,0.0034328653502024905,0.01115590963603924
0.546875,311.046875,0.2090625,0.0,0.0,1.4519901769028882,0.004748604775942388,0.00834924133242872
0.046875,311.046875,0.2090625,0.0,0.0,1.7063839051473824,0.006520985385964199,0.010372778574839083
0.546875,304.671875,0.2090625,0.0,0.0,1.7441445314096418,0.0038269508646741573,0.010643885723458273
0.546875,311.046875,0.4234375,0.0,0.0,1.6765704485076296,0.00876619118186445,0.011699139262248458
0.046875,304.671875,0.4234375,0.0,0.0,1.6461128528971927,0.0038237379174588084,0.029971429959534043
0.796875,272.796875,0.9440625,50.99999999999042,68.0,0.9834490756928778,0.0025137926802904355,0.003248342100643859
0.796875,272.796875,0.9440625,50.99999999999042,68.0,0.9834490756928778,0.0025137926802904355,0.003248342100643859
0.796875,317.421875,0.9440625,15.67335390946347,0.0,2.310526368807754,0.0013747181544583379,0.024808015989457362
0.796875,272.796875,0.1784375,0.0,0.0,1.1214834732630277,0.05239378687571287,0.015516015228309227
0.796875,317.421875,0.1784375,0.0,0.0,1.458568678036721,0.0010827847307866092,0.08394988114765382
0.296875,298.296875,0.4540625,0.0,0.0,1.4548480051130148,0.005439657187649345,0.007233444510206442
0.296875,298.296875,0.4540625,0.0,0.0,1.4548480051130148,0.005439657187649345,0.007233444510206442
0.296875,291.921875,0.4540625,0.0,0.0,1.1177738065228033,0.004808133819145188,0.012074605788416262
0.296875,298.296875,0.6684375,20.447916666664035,4.0,0.40986966057229496,0.003998225117164122,0.016672241712616744
0.296875,291.921875,0.6684375,26.36959876542812,9.0,0.4815532427439558,0.004505251802370466,0.01347932996598419
0.421875,279.171875,0.0865625,0.0,0.0,4.945688404561477,0.0002369530060149523,0.004249001675511991
0.421875,279.171875,0.0865625,0.0,0.0,4.945688404561477,0.0002369530060149523,0.004249001675511991
0.421875,285.546875,0.0865625,0.0,0.0,10.0,0.004547184426780016,0.0045311430457654215
0.421875,279.171875,0.7909375,29.664930555550825,1.0,0.4610300039629708,0.009866347590856382,0.013882420575182925
0.421875,285.546875,0.7909375,18.474626068373883,5.0,1.1586325715488628,0.0035014999362996883,0.020339878410428485
0.921875,304.671875,0.5765625,20.390624999997186,4.0,0.38237850823489766,0.003199155865105312,0.012731939302600031
0.921875,304.671875,0.5765625,20.390624999997186,4.0,0.38237850823489766,0.003199155865105312,0.012731939302600031
0.921875,311.046875,0.5765625,0.0,0.0,1.3027060907439336,0.004588090913051596,0.0042361232970386554
0.921875,304.671875,0.3009375,0.0,0.0,2.1599797372600427,0.007161241591710651,0.00513229737630044
0.921875,311.046875,0.3009375,0.0,0.0,1.7829036058385992,0.0033522164570902032,0.01574374949560554
0.671875,291.921875,0.3315625,0.0,0.0,1.7615689029952817,0.0126362388915797,0.005268388175763944
0.171875,291.921875,0.3315625,0.0,0.0,1.3787612611573945,0.008134962029605956,0.015074480815670616
0.671875,298.296875,0.3315625,0.0,0.0,1.5774072531896213,0.004393732519151756,0.013368649372253042
0.671875,291.921875,0.0559375,0.0,0.0,10.0,0.00048791358136697326,0.002886241366649762
0.171875,298.296875,0.0559375,0.0,0.0,0.0,0.0,0.0
0.171875,317.421875,0.8215625,28.95138888888432,0.0,1.451332230307894,0.006149384378615549,0.027086874344124205
0.671875,317.421875,0.8215625,24.017726608183686,0.0,1.4065780778570536,0.0058894463382752745,0.019461620373635156
0.171875,272.796875,0.8215625,50.499999999990536,33.0,0.839228918293242,0.022635932745340006,0.009023301118347612
0.171875,317.421875,0.5459375,0.0,0.0,1.099118136583942,0.022997311118656195,0.005196283056077009
0.671875,272.796875,0.5459375,0.0,1.0,0.4830205337247827,0.056283898420054185,0.018407440246536438
0.234375,275.984375,0.2703125,0.0,0.0,1.1706443367929076,0.0021816146389368263,0.0023876362267873865
0.984375,275.984375,0.2703125,0.0,1.0,0.7360709364377476,0.08128207250008246,0.02905038186161586
0.234375,307.859375,0.2703125,0.0,0.0,1.6078055643645104,0.003019674414287234,0.017331777215510193
0.234375,275.984375,0.7296875,44.999999999991786,11.0,0.6606478374025277,0.0246381652661145,0.0238545703184703
0.984375,307.859375,0.7296875,7.939484126984005,0.0,1.5555842685123429,0.003355864303009595,0.005517779933767614
0.734375,301.484375,0.7603125,0.0,0.0,5.1331309733720705,0.0037695109199647344,0.01642528740078561
0.484375,301.484375,0.7603125,0.0,0.0,4.409914618082251,0.0015672014039437893,0.00808674066106111
0.734375,282.359375,0.7603125,26.672385620910983,43.0,0.8290247157260813,0.0029449340328989108,0.026905447096203978
0.734375,301.484375,0.2396875,0.0,0.0,1.6383908660729,0.0030915131404427943,0.007603007323608865
0.484375,282.359375,0.2396875,0.0,0.0,1.9043444521774568,0.006387444484820548,0.0056381717870651995
0.984375,288.734375,0.0253125,0.0,0.0,9.999999999999993,1.8360184460310647e-05,0.011115615794320279
0.734375,288.734375,0.0253125,0.0,0.0,9.999999999999996,4.447688922264957e-05,0.15893741879820755
0.984375,295.109375,0.0253125,0.0,0.0,9.999999999999996,1.4628463755589602e-05,0.0048267199433970655
0.984375,288.734375,0.4846875,0.0,0.0,1.0767534291463314,0.009596717939652378,0.04484157237348486
0.734375,295.109375,0.4846875,32.999999999994515,0.0,0.9754471831139615,0.005329255908558164,0.009726938487724893
0.484375,314.234375,0.5153125,0.0,0.0,1.1169258003144242,0.01037594249187725,0.0165504239560772
0.234375,314.234375,0.5153125,0.0,0.0,1.4125656997150948,0.010457854378911495,0.009885038503153426
0.484375,320.609375,0.5153125,0.0,0.0,0.9070271718180045,0.029527663286662363,0.053120671044320854
0.484375,314.234375,0.9746875,8.994642857142658,0.0,3.293697782420769,0.0013399752710149676,0.05730569375874193
0.234375,320.609375,0.9746875,41.29722222221894,67.0,0.8375262036090442,0.0006521756318413788,0.00015269267385714376
0.359375,295.109375,0.8828125,0.0,0.0,3.9897735660736227,0.0013125536529528501,0.008974108738848416
0.109375,295.109375,0.8828125,0.0,0.0,3.876230738778204,0.0013805846835419962,0.014440254527662028
0.359375,314.234375,0.8828125,11.260664682539135,0.0,2.4525663142814724,0.002318555503136634,0.01253090570420632
0.359375,295.109375,0.6071875,20.599206349203676,14.0,0.3599377456527108,0.005371427358151384,0.010525357005286132
0.109375,314.234375,0.6071875,35.64409722221613,14.0,0.6446373939002549,0.009667347490925893,0.012559844050840803
0.859375,320.609375,0.3928125,0.0,0.0,0.7865940741325701,0.06092716756392375,0.013025081935184177
0.609375,320.609375,0.3928125,0.0,0.0,0.7761831840102046,0.016434723955485665,0.022323199541932858
0.859375,288.734375,0.3928125,0.0,0.0,1.139924852944312,0.005429364265193404,0.03183496962874467
0.859375,320.609375,0.11718749999999999,0.0,0.0,2.138443426239282,0.005261873995110745,0.008025372436163294
0.609375,288.734375,0.11718749999999999,0.0,0.0,2.263203780718711,0.0003816390277006725,0.015780162410337074
0.609375,282.359375,0.6378125,0.0,0.0,0.9674365160588281,0.01116565730067239,0.007116000541788329
0.359375,282.359375,0.6378125,43.69444444443653,36.0,0.7926443979937259,0.009292762771770298,0.02674051471632072
0.609375,275.984375,0.6378125,66.99999999999292,4.0,0.4594179086788137,0.012536118388118224,0.07130117073520117
0.609375,282.359375,0.3621875,0.0,0.0,1.4767877269349847,0.01881781617422087,0.006989421921411482
0.359375,275.984375,0.3621875,0.0,0.0,1.1986291993542069,0.011922638213521419,0.01670648710624103
0.109375,307.859375,0.1478125,0.0,0.0,6.4358371638816365,0.0023829206563960805,0.028611717010956772
0.859375,307.859375,0.1478125,0.0,0.0,2.3378190528514886,0.0003812921911078199,0.0009678003563894671
0.109375,301.484375,0.1478125,0.0,0.0,2.304433384400706,0.0013520607741172059,0.016155986464481745
0.109375,307.859375,0.8521875,6.0000000000001386,0.0,4.482856418174969,0.0024208865514472005,0.015744724788667456
0.859375,301.484375,0.8521875,0.0,0.0,4.672818225457432,0.0012510739271806423,0.003602314014168512
0.078125,283.953125,0.7909375,22.77529761904446,64.0,1.0214496578000056,0.004780593948590211,0.025097440820205246
0.140625,283.953125,0.7909375,28.377083333328894,93.0,0.8853837264260026,0.003959709822415444,0.025330915289239146
