iv,T,f_resp,ap_mean,pop_at_end,pop_cv,MSE_fresp_mean,MSE_fresp_cv
0.875,291.125,0.1325,0.0,0.0,5.469768491164756,0.0010698369228778766,0.031851511634873216
0.875,316.625,0.1325,0.0,0.0,5.082137837564032,0.002388184988326444,0.04247410380040211
0.375,316.625,0.1325,0.0,0.0,4.945688404561478,0.002302339182955641,0.001406194101828162
0.875,316.625,0.1325,0.0,0.0,5.082137837564032,0.002388184988326444,0.04247410380040211
0.875,316.625,0.6225,37.66666666666012,11.0,0.6071350961509233,0.011253357575892567,0.054507252440334844
0.375,316.625,0.6225,0.0,0.0,1.3310406499812273,0.01145247632492372,0.02201196169879016
0.625,278.375,0.8674999999999999,24.095012626259162,68.0,1.183293919093904,0.005145022852414361,0.03359657055776888
0.625,278.375,0.8674999999999999,24.095012626259162,68.0,1.183293919093904,0.005145022852414361,0.03359657055776888
0.625,303.875,0.8674999999999999,8.600249287748982,25.0,0.653544995785292,0.019300300066668538,0.06331060380978838
0.625,278.375,0.8674999999999999,24.095012626259162,68.0,1.183293919093904,0.005145022852414361,0.03359657055776888
0.625,303.875,0.8674999999999999,8.600249287748982,25.0,0.653544995785292,0.019300300066668538,0.06331060380978838
0.125,303.875,0.3775,0.0,0.0,1.4435019927657031,0.0211419173112232,0.06613456664981324
0.125,303.875,0.3775,0.0,0.0,1.4435019927657031,0.0211419173112232,0.06613456664981324
0.125,278.375,0.3775,0.0,0.0,1.6218269689835054,0.006817650349083923,0.003072038884479687
0.125,303.875,0.3775,0.0,0.0,1.4435019927657031,0.0211419173112232,0.06613456664981324
0.125,278.375,0.3775,0.0,0.0,1.6218269689835054,0.006817650349083923,0.003072038884479687
0.1875,287.9375,0.92875,10.947712418300178,0.0,2.586785461550854,0.007795489865766608,0.06868991707756288
0.4375,287.9375,0.92875,8.59623015873005,0.0,3.0778158730640177,0.010149804026447374,0.09659971545866863
0.1875,300.6875,0.92875,5.443855932203463,0.0,1.6160324498031564,0.005904897896412401,0.07304852696119464
0.1875,287.9375,0.31625000000000003,0.0,0.0,1.2699424967751343,0.006373731496809195,0.01227959119672683
0.4375,300.6875,0.31625000000000003,0.0,0.0,1.9857049391050694,0.015840891738209125,0.07516026669067365
0.6875,313.4375,0.43875,0.0,0.0,1.4680621960837519,0.015538509052840448,0.017660714627385575
0.9375,313.4375,0.43875,0.0,0.0,1.3900135157488565,0.016305348549757535,0.046656934905847325
0.6875,275.1875,0.43875,0.0,0.0,0.7781741902118172,0.027843753473206757,0.05877379225397806
0.6875,313.4375,0.80625,23.62547348484513,38.0,0.4532631236462797,0.013237593387503148,0.0648552366622159
0.9375,275.1875,0.80625,34.99999999999406,67.0,0.8484566932540873,0.008224824312448866,0.008662616577735122
0.9375,275.1875,0.68375,0.0,0.0,0.5929344651112409,0.024160037501007228,0.025003991566407383
0.1875,275.1875,0.68375,0.0,0.0,0.8919059643937027,0.028752079745911617,0.032337675277280736
0.9375,287.9375,0.68375,23.490740740737415,28.0,0.4967699511137588,0.012332267851390173,0.05437676384863677
0.9375,275.1875,0.56125,0.0,1.0,0.7302018620800933,0.014892078366269953,0.05035991687863081
0.1875,287.9375,0.56125,0.0,0.0,1.12217812603725,0.022143500096539842,0.02159642564216418
0.4375,300.6875,0.19375,0.0,0.0,2.228740710861181,0.006152983204393001,0.022993188710207117
0.6875,300.6875,0.19375,0.0,0.0,2.1061253260166852,0.010129522755388136,0.011884781558780371
0.4375,313.4375,0.19375,0.0,0.0,1.4621396282607542,0.00097274188946089,0.01082143180574563
0.4375,300.6875,0.07125,0.0,0.0,0.0,0.0,0.0
0.6875,313.4375,0.07125,0.0,0.0,7.079792143143998,0.0002586125186129646,0.02260177025041806
0.3125,281.5625,0.31625000000000003,0.0,0.0,2.1843599912625598,0.00845924436003032,0.004946911112306987
